song_title,artist,album,release_year,artist_genres,artist_popularity,artist_followers,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,custom_mood_tags,listener_context,embedding_text,archetype,spotify_url,seed_query,weak_label
Nostalgia Seed,GRAZER,,,,,,,,,,,,,,,,,,,,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,Nostalgia Seed | GRAZER | indie; bittersweet; nostalgic; intimate; reflective | remembering an old relationship or a younger version of yourself | melancholic indie nostalgia,melancholic indie nostalgia,https://open.spotify.com/track/55CpHDKQFVdtnRMGeFwTID,indie nostalgia,yes
Nostalgia,Harvey Causon,,,,,,,,,,,,,,,,,,,,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,Nostalgia | Harvey Causon | indie; bittersweet; nostalgic; intimate; reflective | remembering an old relationship or a younger version of yourself | melancholic indie nostalgia,melancholic indie nostalgia,https://open.spotify.com/track/4VKUv9cqALqSsjhIqscwd0,indie nostalgia,yes
Nostalgia Burns,Siiga,,,,,,,,,,,,,,,,,,,,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,Nostalgia Burns | Siiga | indie; bittersweet; nostalgic; intimate; reflective | remembering an old relationship or a younger version of yourself | melancholic indie nostalgia,melancholic indie nostalgia,https://open.spotify.com/track/6NIDJySaFTjueeke9eK0Eg,indie nostalgia,yes
Vanilla Twilight,Owl City,,,,,,,,,,,,,,,,,,,,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,Vanilla Twilight | Owl City | indie; bittersweet; nostalgic; intimate; reflective | remembering an old relationship or a younger version of yourself | melancholic indie nostalgia,melancholic indie nostalgia,https://open.spotify.com/track/0vCTQcxSGAgjHaiAsIANKn,indie nostalgia,yes
Cardboard Crowns,Faceless Strangers,,,,,,,,,,,,,,,,,,,,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,Cardboard Crowns | Faceless Strangers | indie; bittersweet; nostalgic; intimate; reflective | remembering an old relationship or a younger version of yourself | melancholic indie nostalgia,melancholic indie nostalgia,https://open.spotify.com/track/03FJ3rwf1kVVqaO2aVKQCa,indie nostalgia,yes
SICKO MODE,Travis Scott,,,,,,,,,,,,,,,,,,,,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,SICKO MODE | Travis Scott | indie; bittersweet; nostalgic; intimate; reflective | remembering an old relationship or a younger version of yourself | melancholic indie nostalgia,melancholic indie nostalgia,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,bedroom pop sad,yes
A Drop in the Ocean,Ron Pope,,,,,,,,,,,,,,,,,,,,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,A Drop in the Ocean | Ron Pope | indie; bittersweet; nostalgic; intimate; reflective | remembering an old relationship or a younger version of yourself | melancholic indie nostalgia,melancholic indie nostalgia,https://open.spotify.com/track/5JDcQAztvZTIkrWoZihgvC,bedroom pop sad,yes
Evergreen (You Didn’t Deserve Me At All),Omar Apollo,,,,,,,,,,,,,,,,,,,,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,Evergreen (You Didn’t Deserve Me At All) | Omar Apollo | indie; bittersweet; nostalgic; intimate; reflective | remembering an old relationship or a younger version of yourself | melancholic indie nostalgia,melancholic indie nostalgia,https://open.spotify.com/track/2TktkzfozZifbQhXjT6I33,bedroom pop sad,yes
YKWIM?,Yot Club,,,,,,,,,,,,,,,,,,,,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,YKWIM? | Yot Club | indie; bittersweet; nostalgic; intimate; reflective | remembering an old relationship or a younger version of yourself | melancholic indie nostalgia,melancholic indie nostalgia,https://open.spotify.com/track/2vWBUC9djv6BtiGlmKiQaH,bedroom pop sad,yes
Bubble Gum,Clairo,,,,,,,,,,,,,,,,,,,,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,Bubble Gum | Clairo | indie; bittersweet; nostalgic; intimate; reflective | remembering an old relationship or a younger version of yourself | melancholic indie nostalgia,melancholic indie nostalgia,https://open.spotify.com/track/3zksbXteOCeSusJ5Xltr3t,bedroom pop sad,yes
Sad Sad Sad - Remastered,The Rolling Stones,,,,,,,,,,,,,,,,,,,,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,Sad Sad Sad - Remastered | The Rolling Stones | indie; bittersweet; nostalgic; intimate; reflective | remembering an old relationship or a younger version of yourself | melancholic indie nostalgia,melancholic indie nostalgia,https://open.spotify.com/track/7FADg5WNyvzaVtMhMpfW0X,bedroom pop sad,yes
For The Love of $,Chris Travis,,,,,,,,,,,,,,,,,,,,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,For The Love of $ | Chris Travis | indie; bittersweet; nostalgic; intimate; reflective | remembering an old relationship or a younger version of yourself | melancholic indie nostalgia,melancholic indie nostalgia,https://open.spotify.com/track/0Fvky39ZDwf9sCUqnrpqnU,bedroom pop sad,yes
Love has struck my Heart,리피트,,,,,,,,,,,,,,,,,,,,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,Love has struck my Heart | 리피트 | indie; bittersweet; nostalgic; intimate; reflective | remembering an old relationship or a younger version of yourself | melancholic indie nostalgia,melancholic indie nostalgia,https://open.spotify.com/track/67sgNfpWS6dAZl40yJD5RG,bedroom pop sad,yes
Stability,Camo Da Cool,,,,,,,,,,,,,,,,,,,,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,Stability | Camo Da Cool | indie; bittersweet; nostalgic; intimate; reflective | remembering an old relationship or a younger version of yourself | melancholic indie nostalgia,melancholic indie nostalgia,https://open.spotify.com/track/5tlymW7H4n1P2IACoN7VZi,bedroom pop sad,yes
Stability,Camo Da Cool,,,,,,,,,,,,,,,,,,,,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,Stability | Camo Da Cool | indie; bittersweet; nostalgic; intimate; reflective | remembering an old relationship or a younger version of yourself | melancholic indie nostalgia,melancholic indie nostalgia,https://open.spotify.com/track/1RVArewufhF79tR0U9bdrJ,bedroom pop sad,yes
Bittersweet,Dopamine,,,,,,,,,,,,,,,,,,,,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,Bittersweet | Dopamine | indie; bittersweet; nostalgic; intimate; reflective | remembering an old relationship or a younger version of yourself | melancholic indie nostalgia,melancholic indie nostalgia,https://open.spotify.com/track/2MZCqlpAVsvCM3cJHWokjm,bittersweet indie,yes
Bitter Sweet Symphony - Remastered 2016,The Verve,,,,,,,,,,,,,,,,,,,,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,Bitter Sweet Symphony - Remastered 2016 | The Verve | indie; bittersweet; nostalgic; intimate; reflective | remembering an old relationship or a younger version of yourself | melancholic indie nostalgia,melancholic indie nostalgia,https://open.spotify.com/track/57iDDD9N9tTWe75x6qhStw,bittersweet indie,yes
bittersweet,fenix,,,,,,,,,,,,,,,,,,,,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,bittersweet | fenix | indie; bittersweet; nostalgic; intimate; reflective | remembering an old relationship or a younger version of yourself | melancholic indie nostalgia,melancholic indie nostalgia,https://open.spotify.com/track/4zBJfimNoTSdqRNykhepfh,bittersweet indie,yes
Bittersweet,Matilda Mann,,,,,,,,,,,,,,,,,,,,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,Bittersweet | Matilda Mann | indie; bittersweet; nostalgic; intimate; reflective | remembering an old relationship or a younger version of yourself | melancholic indie nostalgia,melancholic indie nostalgia,https://open.spotify.com/track/1qwb32B32x1JruBLIA09qB,bittersweet indie,yes
Bittersweet,Culture Wars,,,,,,,,,,,,,,,,,,,,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,Bittersweet | Culture Wars | indie; bittersweet; nostalgic; intimate; reflective | remembering an old relationship or a younger version of yourself | melancholic indie nostalgia,melancholic indie nostalgia,https://open.spotify.com/track/7cIZhtKA8T3KRVU7KGqMoz,bittersweet indie,yes
Bittersweet,Axel Ruby,,,,,,,,,,,,,,,,,,,,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,Bittersweet | Axel Ruby | indie; bittersweet; nostalgic; intimate; reflective | remembering an old relationship or a younger version of yourself | melancholic indie nostalgia,melancholic indie nostalgia,https://open.spotify.com/track/6oNZ4cYB5TEKxBeXelmLjj,bittersweet indie,yes
Bittersweet,Culture Wars,,,,,,,,,,,,,,,,,,,,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,Bittersweet | Culture Wars | indie; bittersweet; nostalgic; intimate; reflective | remembering an old relationship or a younger version of yourself | melancholic indie nostalgia,melancholic indie nostalgia,https://open.spotify.com/track/6moUGZkEv5lSwUNfjUk180,bittersweet indie,yes
Bittersweet (feat. LeeHi),"WONWOO, MINGYU, LEEHI",,,,,,,,,,,,,,,,,,,,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,"Bittersweet (feat. LeeHi) | WONWOO, MINGYU, LEEHI | indie; bittersweet; nostalgic; intimate; reflective | remembering an old relationship or a younger version of yourself | melancholic indie nostalgia",melancholic indie nostalgia,https://open.spotify.com/track/347PJwH4XqRbeaKaIW9sX3,bittersweet indie,yes
Bittersweet,Axel Ruby,,,,,,,,,,,,,,,,,,,,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,Bittersweet | Axel Ruby | indie; bittersweet; nostalgic; intimate; reflective | remembering an old relationship or a younger version of yourself | melancholic indie nostalgia,melancholic indie nostalgia,https://open.spotify.com/track/0O2nIuvnqgehLeqxeJAAgR,bittersweet indie,yes
"Bittersweet, TN","Kevin Morby, Erin Rae",,,,,,,,,,,,,,,,,,,,indie; bittersweet; nostalgic; intimate; reflective,remembering an old relationship or a younger version of yourself,"Bittersweet, TN | Kevin Morby, Erin Rae | indie; bittersweet; nostalgic; intimate; reflective | remembering an old relationship or a younger version of yourself | melancholic indie nostalgia",melancholic indie nostalgia,https://open.spotify.com/track/0merkJ9dgvkemPaR3urDWs,bittersweet indie,yes
Nostalgia,Section303,,,,,,,,,,,,,,,,,,,,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,Nostalgia | Section303 | synthwave; dreamy; digital; nostalgic; glowing | old memories filtered through screens and neon light | nostalgic digital dreamer,nostalgic digital dreamer,https://open.spotify.com/track/6yeIdMq9nowvqdhWZoor9i,synthwave nostalgia,yes
Nostalgia,"Ace Marino, Jinxx",,,,,,,,,,,,,,,,,,,,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,"Nostalgia | Ace Marino, Jinxx | synthwave; dreamy; digital; nostalgic; glowing | old memories filtered through screens and neon light | nostalgic digital dreamer",nostalgic digital dreamer,https://open.spotify.com/track/04BeDTkosBN0JlCfImmSXU,synthwave nostalgia,yes
Nostalgia,Elysium Sound,,,,,,,,,,,,,,,,,,,,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,Nostalgia | Elysium Sound | synthwave; dreamy; digital; nostalgic; glowing | old memories filtered through screens and neon light | nostalgic digital dreamer,nostalgic digital dreamer,https://open.spotify.com/track/7LKkwfkb9EjiSA1ylXaAbn,synthwave nostalgia,yes
Nostalgie,Atrey,,,,,,,,,,,,,,,,,,,,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,Nostalgie | Atrey | synthwave; dreamy; digital; nostalgic; glowing | old memories filtered through screens and neon light | nostalgic digital dreamer,nostalgic digital dreamer,https://open.spotify.com/track/7yO4fWo877xXUlizCP2Xn0,synthwave nostalgia,yes
Nostalgia,Downtown Binary,,,,,,,,,,,,,,,,,,,,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,Nostalgia | Downtown Binary | synthwave; dreamy; digital; nostalgic; glowing | old memories filtered through screens and neon light | nostalgic digital dreamer,nostalgic digital dreamer,https://open.spotify.com/track/2NHvZbA01EEtKkiPv9sHLv,synthwave nostalgia,yes
Not Now,DJ EIGHTIES NOSTALGIA,,,,,,,,,,,,,,,,,,,,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,Not Now | DJ EIGHTIES NOSTALGIA | synthwave; dreamy; digital; nostalgic; glowing | old memories filtered through screens and neon light | nostalgic digital dreamer,nostalgic digital dreamer,https://open.spotify.com/track/2ZMJd3iYEjWv59g7qxLCIk,synthwave nostalgia,yes
Nostalgia,"W O L F C L U B, Cadenti",,,,,,,,,,,,,,,,,,,,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,"Nostalgia | W O L F C L U B, Cadenti | synthwave; dreamy; digital; nostalgic; glowing | old memories filtered through screens and neon light | nostalgic digital dreamer",nostalgic digital dreamer,https://open.spotify.com/track/0lcRaM8grtoUoHCyFKeGq4,synthwave nostalgia,yes
Moonwalker,The Northern Lights,,,,,,,,,,,,,,,,,,,,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,Moonwalker | The Northern Lights | synthwave; dreamy; digital; nostalgic; glowing | old memories filtered through screens and neon light | nostalgic digital dreamer,nostalgic digital dreamer,https://open.spotify.com/track/7qTp6XCW4h6oBC6SfL7emi,synthwave nostalgia,yes
Teenage Wasteland,The Northern Lights,,,,,,,,,,,,,,,,,,,,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,Teenage Wasteland | The Northern Lights | synthwave; dreamy; digital; nostalgic; glowing | old memories filtered through screens and neon light | nostalgic digital dreamer,nostalgic digital dreamer,https://open.spotify.com/track/2hrI8gy6SUZql1aL3Q4S11,synthwave nostalgia,yes
So Empty,Vioflesh,,,,,,,,,,,,,,,,,,,,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,So Empty | Vioflesh | synthwave; dreamy; digital; nostalgic; glowing | old memories filtered through screens and neon light | nostalgic digital dreamer,nostalgic digital dreamer,https://open.spotify.com/track/5Kas4nFHepP6LIEDTJnijb,synthwave nostalgia,yes
Dreamy,Meladonica,,,,,,,,,,,,,,,,,,,,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,Dreamy | Meladonica | synthwave; dreamy; digital; nostalgic; glowing | old memories filtered through screens and neon light | nostalgic digital dreamer,nostalgic digital dreamer,https://open.spotify.com/track/75sldKDaIgIhQlqSCzXNtq,dreamy electronic,yes
Dreamy Cinematic Slideshow,penguinmusic,,,,,,,,,,,,,,,,,,,,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,Dreamy Cinematic Slideshow | penguinmusic | synthwave; dreamy; digital; nostalgic; glowing | old memories filtered through screens and neon light | nostalgic digital dreamer,nostalgic digital dreamer,https://open.spotify.com/track/1m1o6Ojc5ku5GGj4i76XOl,dreamy electronic,yes
DREAMY!,BLL4X,,,,,,,,,,,,,,,,,,,,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,DREAMY! | BLL4X | synthwave; dreamy; digital; nostalgic; glowing | old memories filtered through screens and neon light | nostalgic digital dreamer,nostalgic digital dreamer,https://open.spotify.com/track/4gnD6X7qDpQrcRXEGTyWh5,dreamy electronic,yes
Dreamy Vibes,Calmly,,,,,,,,,,,,,,,,,,,,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,Dreamy Vibes | Calmly | synthwave; dreamy; digital; nostalgic; glowing | old memories filtered through screens and neon light | nostalgic digital dreamer,nostalgic digital dreamer,https://open.spotify.com/track/6kLJb64QNhfKQG77wA8UZt,dreamy electronic,yes
Dreamy Runaway,The Halfside,,,,,,,,,,,,,,,,,,,,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,Dreamy Runaway | The Halfside | synthwave; dreamy; digital; nostalgic; glowing | old memories filtered through screens and neon light | nostalgic digital dreamer,nostalgic digital dreamer,https://open.spotify.com/track/5IwXZKe3O1XpkHGCaW1nuj,dreamy electronic,yes
Drömmarnas Eko,Avslappning Musik Akademi,,,,,,,,,,,,,,,,,,,,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,Drömmarnas Eko | Avslappning Musik Akademi | synthwave; dreamy; digital; nostalgic; glowing | old memories filtered through screens and neon light | nostalgic digital dreamer,nostalgic digital dreamer,https://open.spotify.com/track/5MG8t21Rk2xdKXdreXqjHg,dreamy electronic,yes
WINGS - STUTTER,"STUTTER TECHNO, dreamy",,,,,,,,,,,,,,,,,,,,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,"WINGS - STUTTER | STUTTER TECHNO, dreamy | synthwave; dreamy; digital; nostalgic; glowing | old memories filtered through screens and neon light | nostalgic digital dreamer",nostalgic digital dreamer,https://open.spotify.com/track/5xbVB7jFHEFXGou72wrrTo,dreamy electronic,yes
Dreamy Whispers,Calmly,,,,,,,,,,,,,,,,,,,,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,Dreamy Whispers | Calmly | synthwave; dreamy; digital; nostalgic; glowing | old memories filtered through screens and neon light | nostalgic digital dreamer,nostalgic digital dreamer,https://open.spotify.com/track/3mFw10m5toMI0NN1TZGVDv,dreamy electronic,yes
Dreamy Boy,Jordan Irwin,,,,,,,,,,,,,,,,,,,,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,Dreamy Boy | Jordan Irwin | synthwave; dreamy; digital; nostalgic; glowing | old memories filtered through screens and neon light | nostalgic digital dreamer,nostalgic digital dreamer,https://open.spotify.com/track/5kysdcP5iSRBEmLx5scBWR,dreamy electronic,yes
Dreamy Smiles,The Dining Rooms,,,,,,,,,,,,,,,,,,,,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,Dreamy Smiles | The Dining Rooms | synthwave; dreamy; digital; nostalgic; glowing | old memories filtered through screens and neon light | nostalgic digital dreamer,nostalgic digital dreamer,https://open.spotify.com/track/1mDKD8LzNTUgCQHgVCHDZ2,dreamy electronic,yes
Vaporwave,Ketch&Aker,,,,,,,,,,,,,,,,,,,,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,Vaporwave | Ketch&Aker | synthwave; dreamy; digital; nostalgic; glowing | old memories filtered through screens and neon light | nostalgic digital dreamer,nostalgic digital dreamer,https://open.spotify.com/track/4rIuno1JU2URGgpNwUQ76x,vaporwave,yes
Resonance,Home,,,,,,,,,,,,,,,,,,,,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,Resonance | Home | synthwave; dreamy; digital; nostalgic; glowing | old memories filtered through screens and neon light | nostalgic digital dreamer,nostalgic digital dreamer,https://open.spotify.com/track/2NHkwSwm6C6eAX3z6xm7Uy,vaporwave,yes
Vaporwave,Retrowave Beats,,,,,,,,,,,,,,,,,,,,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,Vaporwave | Retrowave Beats | synthwave; dreamy; digital; nostalgic; glowing | old memories filtered through screens and neon light | nostalgic digital dreamer,nostalgic digital dreamer,https://open.spotify.com/track/4sZRDxBt9j0QTaIDfhQV8T,vaporwave,yes
Vaporwave,Astrancer,,,,,,,,,,,,,,,,,,,,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,Vaporwave | Astrancer | synthwave; dreamy; digital; nostalgic; glowing | old memories filtered through screens and neon light | nostalgic digital dreamer,nostalgic digital dreamer,https://open.spotify.com/track/7fqJcDG1YjJdy8VUVIyGcE,vaporwave,yes
Vaporwave,Nightflyer,,,,,,,,,,,,,,,,,,,,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,Vaporwave | Nightflyer | synthwave; dreamy; digital; nostalgic; glowing | old memories filtered through screens and neon light | nostalgic digital dreamer,nostalgic digital dreamer,https://open.spotify.com/track/0SHf9hpQsMUPj0FLjpJfuX,vaporwave,yes
Vaporwave,Oblique Occasions,,,,,,,,,,,,,,,,,,,,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,Vaporwave | Oblique Occasions | synthwave; dreamy; digital; nostalgic; glowing | old memories filtered through screens and neon light | nostalgic digital dreamer,nostalgic digital dreamer,https://open.spotify.com/track/0TUdxjQk6My1auDIEvdGV7,vaporwave,yes
Warmpop,"ESPRIT 空想, George Clanton",,,,,,,,,,,,,,,,,,,,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,"Warmpop | ESPRIT 空想, George Clanton | synthwave; dreamy; digital; nostalgic; glowing | old memories filtered through screens and neon light | nostalgic digital dreamer",nostalgic digital dreamer,https://open.spotify.com/track/0Ubp7kMZ6MWZIL8qkloYub,vaporwave,yes
SimpsonWave1995,FrankJavCee,,,,,,,,,,,,,,,,,,,,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,SimpsonWave1995 | FrankJavCee | synthwave; dreamy; digital; nostalgic; glowing | old memories filtered through screens and neon light | nostalgic digital dreamer,nostalgic digital dreamer,https://open.spotify.com/track/0qqRNnwh86N1XBV94GVgQN,vaporwave,yes
Resonance - Slowed & Reverb,noturgf,,,,,,,,,,,,,,,,,,,,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,Resonance - Slowed & Reverb | noturgf | synthwave; dreamy; digital; nostalgic; glowing | old memories filtered through screens and neon light | nostalgic digital dreamer,nostalgic digital dreamer,https://open.spotify.com/track/72qSU1mTkBpwokctNf6KNv,vaporwave,yes
A Brighter Future,Resonance Hub,,,,,,,,,,,,,,,,,,,,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,A Brighter Future | Resonance Hub | synthwave; dreamy; digital; nostalgic; glowing | old memories filtered through screens and neon light | nostalgic digital dreamer,nostalgic digital dreamer,https://open.spotify.com/track/76v8yYCzBkuv7efXLQTU5A,vaporwave,yes
After Dark Retrowave PBH,PBH,,,,,,,,,,,,,,,,,,,,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,After Dark Retrowave PBH | PBH | synthwave; dreamy; digital; nostalgic; glowing | old memories filtered through screens and neon light | nostalgic digital dreamer,nostalgic digital dreamer,https://open.spotify.com/track/0yYZW2GUUKXSpxJwSMPObJ,retrowave,yes
Real Love,Retrowaves,,,,,,,,,,,,,,,,,,,,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,Real Love | Retrowaves | synthwave; dreamy; digital; nostalgic; glowing | old memories filtered through screens and neon light | nostalgic digital dreamer,nostalgic digital dreamer,https://open.spotify.com/track/75aYWQdjwPoAD21zYDFo4r,retrowave,yes
The Perfect Girl - The Motion Retrowave Remix,"Mareux, The Motion",,,,,,,,,,,,,,,,,,,,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,"The Perfect Girl - The Motion Retrowave Remix | Mareux, The Motion | synthwave; dreamy; digital; nostalgic; glowing | old memories filtered through screens and neon light | nostalgic digital dreamer",nostalgic digital dreamer,https://open.spotify.com/track/1UcyzhmBDfdw07DiuT7DEG,retrowave,yes
Retrowave,Sound Gallery by Dmitry Taras,,,,,,,,,,,,,,,,,,,,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,Retrowave | Sound Gallery by Dmitry Taras | synthwave; dreamy; digital; nostalgic; glowing | old memories filtered through screens and neon light | nostalgic digital dreamer,nostalgic digital dreamer,https://open.spotify.com/track/64kA6YY8AujBfYgjUgBmmG,retrowave,yes
Retrowave,Chico,,,,,,,,,,,,,,,,,,,,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,Retrowave | Chico | synthwave; dreamy; digital; nostalgic; glowing | old memories filtered through screens and neon light | nostalgic digital dreamer,nostalgic digital dreamer,https://open.spotify.com/track/5LO5FJ40fFKH93jgNQ6jkS,retrowave,yes
Retrowave,"Reggio, Declain",,,,,,,,,,,,,,,,,,,,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,"Retrowave | Reggio, Declain | synthwave; dreamy; digital; nostalgic; glowing | old memories filtered through screens and neon light | nostalgic digital dreamer",nostalgic digital dreamer,https://open.spotify.com/track/3QFxdaaJJQJKcxmbztCnu8,retrowave,yes
Soulful Sunset,Retrowaves,,,,,,,,,,,,,,,,,,,,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,Soulful Sunset | Retrowaves | synthwave; dreamy; digital; nostalgic; glowing | old memories filtered through screens and neon light | nostalgic digital dreamer,nostalgic digital dreamer,https://open.spotify.com/track/328qy9jbj17ubGpJZ6Ab71,retrowave,yes
Retrowave,80s Neon Wave,,,,,,,,,,,,,,,,,,,,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,Retrowave | 80s Neon Wave | synthwave; dreamy; digital; nostalgic; glowing | old memories filtered through screens and neon light | nostalgic digital dreamer,nostalgic digital dreamer,https://open.spotify.com/track/6ESWcXY7pluOhU8da4t5CL,retrowave,yes
Happy Desire,Retrowaves,,,,,,,,,,,,,,,,,,,,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,Happy Desire | Retrowaves | synthwave; dreamy; digital; nostalgic; glowing | old memories filtered through screens and neon light | nostalgic digital dreamer,nostalgic digital dreamer,https://open.spotify.com/track/6idnfLm8eiN4FE8lhTMkpQ,retrowave,yes
Retrowave,cYsmix,,,,,,,,,,,,,,,,,,,,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,Retrowave | cYsmix | synthwave; dreamy; digital; nostalgic; glowing | old memories filtered through screens and neon light | nostalgic digital dreamer,nostalgic digital dreamer,https://open.spotify.com/track/6HeLQgKnajRjMg8a2aSVXl,retrowave,yes
Digital Nostalgia,"Lofi Hip-Hop Beats, Coffe Lofi, ChillHop Beats",,,,,,,,,,,,,,,,,,,,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,"Digital Nostalgia | Lofi Hip-Hop Beats, Coffe Lofi, ChillHop Beats | synthwave; dreamy; digital; nostalgic; glowing | old memories filtered through screens and neon light | nostalgic digital dreamer",nostalgic digital dreamer,https://open.spotify.com/track/6k8BW8W2WPcnphsPNtGDRL,digital nostalgia,yes
Digital Nostalgia,"UTAN3KO, Yug3n, kraizer",,,,,,,,,,,,,,,,,,,,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,"Digital Nostalgia | UTAN3KO, Yug3n, kraizer | synthwave; dreamy; digital; nostalgic; glowing | old memories filtered through screens and neon light | nostalgic digital dreamer",nostalgic digital dreamer,https://open.spotify.com/track/6ItEaur3bURFeAa1uWCs8T,digital nostalgia,yes
Digital Hallucination,"OR3O, Lizzie Freeman",,,,,,,,,,,,,,,,,,,,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,"Digital Hallucination | OR3O, Lizzie Freeman | synthwave; dreamy; digital; nostalgic; glowing | old memories filtered through screens and neon light | nostalgic digital dreamer",nostalgic digital dreamer,https://open.spotify.com/track/0YYOZUS8AwuQPut4BIKiNF,digital nostalgia,yes
Digital Nostalgia,"Coffee Shop Jazz Relax, Coffe Lofi, Base De Rap",,,,,,,,,,,,,,,,,,,,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,"Digital Nostalgia | Coffee Shop Jazz Relax, Coffe Lofi, Base De Rap | synthwave; dreamy; digital; nostalgic; glowing | old memories filtered through screens and neon light | nostalgic digital dreamer",nostalgic digital dreamer,https://open.spotify.com/track/2M9ymWxFS3S7tPpNzo6bb7,digital nostalgia,yes
