song_title,artist,spotify_url,custom_mood_tags,listener_context,archetype,seed_query,weak_label
After Dark Retrowave PBH,PBH,https://open.spotify.com/track/0yYZW2GUUKXSpxJwSMPObJ,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,nostalgic digital dreamer,retrowave,yes
Real Love,Retrowaves,https://open.spotify.com/track/75aYWQdjwPoAD21zYDFo4r,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,nostalgic digital dreamer,retrowave,yes
The Perfect Girl - The Motion Retrowave Remix,"Mareux, The Motion",https://open.spotify.com/track/1UcyzhmBDfdw07DiuT7DEG,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,nostalgic digital dreamer,retrowave,yes
Retrowave,Sound Gallery by Dmitry Taras,https://open.spotify.com/track/64kA6YY8AujBfYgjUgBmmG,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,nostalgic digital dreamer,retrowave,yes
Retrowave,Chico,https://open.spotify.com/track/5LO5FJ40fFKH93jgNQ6jkS,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,nostalgic digital dreamer,retrowave,yes
Retrowave,"Reggio, Declain",https://open.spotify.com/track/3QFxdaaJJQJKcxmbztCnu8,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,nostalgic digital dreamer,retrowave,yes
Soulful Sunset,Retrowaves,https://open.spotify.com/track/328qy9jbj17ubGpJZ6Ab71,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,nostalgic digital dreamer,retrowave,yes
Retrowave,80s Neon Wave,https://open.spotify.com/track/6ESWcXY7pluOhU8da4t5CL,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,nostalgic digital dreamer,retrowave,yes
Happy Desire,Retrowaves,https://open.spotify.com/track/6idnfLm8eiN4FE8lhTMkpQ,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,nostalgic digital dreamer,retrowave,yes
Retrowave,cYsmix,https://open.spotify.com/track/6HeLQgKnajRjMg8a2aSVXl,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,nostalgic digital dreamer,retrowave,yes
Digital Nostalgia,"Lofi Hip-Hop Beats, Coffe Lofi, ChillHop Beats",https://open.spotify.com/track/6k8BW8W2WPcnphsPNtGDRL,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,nostalgic digital dreamer,digital nostalgia,yes
Digital Nostalgia,"UTAN3KO, Yug3n, kraizer",https://open.spotify.com/track/6ItEaur3bURFeAa1uWCs8T,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,nostalgic digital dreamer,digital nostalgia,yes
Digital Hallucination,"OR3O, Lizzie Freeman",https://open.spotify.com/track/0YYOZUS8AwuQPut4BIKiNF,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,nostalgic digital dreamer,digital nostalgia,yes
Digital Nostalgia,"Coffee Shop Jazz Relax, Coffe Lofi, Base De Rap",https://open.spotify.com/track/2M9ymWxFS3S7tPpNzo6bb7,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,nostalgic digital dreamer,digital nostalgia,yes
Everytime We Touch,Cascada,https://open.spotify.com/track/5YJtMNWKe55yr49cyJgxva,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,nostalgic digital dreamer,digital nostalgia,yes
Nostalgia Di Milano - Digital Remaster 2004,Tony Renis,https://open.spotify.com/track/0HT9zSyPf06WrfsNVpsTaI,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,nostalgic digital dreamer,digital nostalgia,yes
Everytime We Touch,Cascada,https://open.spotify.com/track/5aEqcblO0Z6JloFJXtxyhe,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,nostalgic digital dreamer,digital nostalgia,yes
Everytime We Touch,Cascada,https://open.spotify.com/track/7dCi75cRLdD5NHsZajSDrz,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,nostalgic digital dreamer,digital nostalgia,yes
Everytime We Touch,Cascada,https://open.spotify.com/track/4DtMLDNbMoAPb5JmrFyrTe,synthwave; dreamy; digital; nostalgic; glowing,old memories filtered through screens and neon light,nostalgic digital dreamer,digital nostalgia,yes
Everybody Wants to Rule the World (feat. Spencer Jones & Mckenna Breinholt),"Cinematic Pop, Spencer Jones, McKenna Faith",https://open.spotify.com/track/7GFqU0csJUXy6k2dkTgHYB,cinematic; dramatic; grand; emotional; self-mythologizing,turning personal conflict into a movie scene,cinematic self-mythologizer,cinematic pop,yes
Sweet Dreams (Are Made of This),"Cinematic Pop, McKenna Faith",https://open.spotify.com/track/0q7S4FMpP8Qxfgt3n2KoEk,cinematic; dramatic; grand; emotional; self-mythologizing,turning personal conflict into a movie scene,cinematic self-mythologizer,cinematic pop,yes
First Light (feat. Spencer Jones),"Cinematic Pop, Spencer Jones",https://open.spotify.com/track/6nPnqcRHSpNLthYvqj9oqp,cinematic; dramatic; grand; emotional; self-mythologizing,turning personal conflict into a movie scene,cinematic self-mythologizer,cinematic pop,yes
Listen to Your Heart (feat. Cosette Smith),"Cinematic Pop, Cosette Smith",https://open.spotify.com/track/1E3cG4xkWP4URfpkOrphW5,cinematic; dramatic; grand; emotional; self-mythologizing,turning personal conflict into a movie scene,cinematic self-mythologizer,cinematic pop,yes
Eleanor Rigby,"Cinematic Pop, Adam Payne",https://open.spotify.com/track/10ytTrS13rJ2udNfs8ttDG,cinematic; dramatic; grand; emotional; self-mythologizing,turning personal conflict into a movie scene,cinematic self-mythologizer,cinematic pop,yes
Take on Me,"Cinematic Pop, Cosette",https://open.spotify.com/track/1U45uQgz0oIhsqU0iVmD9m,cinematic; dramatic; grand; emotional; self-mythologizing,turning personal conflict into a movie scene,cinematic self-mythologizer,cinematic pop,yes
Titanium (feat. Mckenna Breinholt & Cosette Smith),"Cinematic Pop, McKenna Faith, Cosette Smith",https://open.spotify.com/track/5dB45SObXWjf6FnyjA6nBz,cinematic; dramatic; grand; emotional; self-mythologizing,turning personal conflict into a movie scene,cinematic self-mythologizer,cinematic pop,yes
Hallelujah (feat. McKenna Breinholt),"Cinematic Pop, McKenna Faith",https://open.spotify.com/track/2FK0ULI8Iof7VU0IGJePrv,cinematic; dramatic; grand; emotional; self-mythologizing,turning personal conflict into a movie scene,cinematic self-mythologizer,cinematic pop,yes
With Me,"Alexandra Armstrong, Thomas Robson",https://open.spotify.com/track/5edfNbfRO2S7tfzzDSaXp6,cinematic; dramatic; grand; emotional; self-mythologizing,turning personal conflict into a movie scene,cinematic self-mythologizer,cinematic pop,yes
Cinematic Love,Du0,https://open.spotify.com/track/6MayhBGaupn7f2M0Zo3oyj,cinematic; dramatic; grand; emotional; self-mythologizing,turning personal conflict into a movie scene,cinematic self-mythologizer,cinematic pop,yes
Dramatic Emotional,AShamaluevMusic,https://open.spotify.com/track/2m1Ay5OAI1NIT4KCw1HtzR,cinematic; dramatic; grand; emotional; self-mythologizing,turning personal conflict into a movie scene,cinematic self-mythologizer,dramatic emotional,yes
Dramatic Emotional Piano,Onoychenko,https://open.spotify.com/track/6SJDmbpE01LkW8tvhs15QH,cinematic; dramatic; grand; emotional; self-mythologizing,turning personal conflict into a movie scene,cinematic self-mythologizer,dramatic emotional,yes
Emotional Dramatic Background,DS Productions,https://open.spotify.com/track/0ui7wPTK4LxepNGJZkHGDs,cinematic; dramatic; grand; emotional; self-mythologizing,turning personal conflict into a movie scene,cinematic self-mythologizer,dramatic emotional,yes
Sad Dramatic Cinematic Emotional,Romansenykmusic,https://open.spotify.com/track/6INfD9MiIZl8nguULtMCGa,cinematic; dramatic; grand; emotional; self-mythologizing,turning personal conflict into a movie scene,cinematic self-mythologizer,dramatic emotional,yes
Epic Emotional Dramatic Voices,Carlos Estella,https://open.spotify.com/track/2l4TwvXDHVU0dUP9nAAlZC,cinematic; dramatic; grand; emotional; self-mythologizing,turning personal conflict into a movie scene,cinematic self-mythologizer,dramatic emotional,yes
Abandonment (Instrumental Piano & Orchestra) Sad Music Dramatic Emotional Love Song,Sad Piano Music Instrumental Collective Australia,https://open.spotify.com/track/2nqMoLA4yPSPPKnX0JzBRH,cinematic; dramatic; grand; emotional; self-mythologizing,turning personal conflict into a movie scene,cinematic self-mythologizer,dramatic emotional,yes
Emotional Dramatic Piano,AShamaluevMusic,https://open.spotify.com/track/3RwclGNDKrsjfqNYLpZJ65,cinematic; dramatic; grand; emotional; self-mythologizing,turning personal conflict into a movie scene,cinematic self-mythologizer,dramatic emotional,yes
Drama,Florews,https://open.spotify.com/track/6UtUTnP51mgBBYBjGG1NOv,cinematic; dramatic; grand; emotional; self-mythologizing,turning personal conflict into a movie scene,cinematic self-mythologizer,dramatic emotional,yes
A Sentimental,Florews,https://open.spotify.com/track/0xY6NUi4JcICxw5IqYxWpN,cinematic; dramatic; grand; emotional; self-mythologizing,turning personal conflict into a movie scene,cinematic self-mythologizer,dramatic emotional,yes
Up and Away (Solo) - Happy Piano Instrumental Music,Mark Andrew Hansen,https://open.spotify.com/track/79b7s3vEAcxpv4H0b4Uhei,cinematic; dramatic; grand; emotional; self-mythologizing,turning personal conflict into a movie scene,cinematic self-mythologizer,dramatic emotional,yes
Epic Sax Song,Adrenalize,https://open.spotify.com/track/1MBCOLWlw0wXeSlCgLQCK9,cinematic; dramatic; grand; emotional; self-mythologizing,turning personal conflict into a movie scene,cinematic self-mythologizer,epic sad song,yes
Epic Sax,Fallis,https://open.spotify.com/track/0qbYDqXQsRHqUt3xPiFrAc,cinematic; dramatic; grand; emotional; self-mythologizing,turning personal conflict into a movie scene,cinematic self-mythologizer,epic sad song,yes
Bad Day,Daniel Powter,https://open.spotify.com/track/0mUyMawtxj1CJ76kn9gIZK,cinematic; dramatic; grand; emotional; self-mythologizing,turning personal conflict into a movie scene,cinematic self-mythologizer,epic sad song,yes
Hey Jude - Remastered 2009,The Beatles,https://open.spotify.com/track/3m7V717IKZqZLW5qUIOxdD,cinematic; dramatic; grand; emotional; self-mythologizing,turning personal conflict into a movie scene,cinematic self-mythologizer,epic sad song,yes
Smooth Operator - Single Version,Sade,https://open.spotify.com/track/1Hv1VTm8zeOeybub15mA2R,cinematic; dramatic; grand; emotional; self-mythologizing,turning personal conflict into a movie scene,cinematic self-mythologizer,epic sad song,yes
By Your Side,Sade,https://open.spotify.com/track/7H3ojI1BsVy0dEJENqMt1k,cinematic; dramatic; grand; emotional; self-mythologizing,turning personal conflict into a movie scene,cinematic self-mythologizer,epic sad song,yes
Hold Me Back,KB,https://open.spotify.com/track/5C5FqRfbXF9oY4HSRYyqn3,cinematic; dramatic; grand; emotional; self-mythologizing,turning personal conflict into a movie scene,cinematic self-mythologizer,epic sad song,yes
Down On Me - Commentary,SOULS,https://open.spotify.com/track/7hjU9euiekrZRcHtiXq5TI,cinematic; dramatic; grand; emotional; self-mythologizing,turning personal conflict into a movie scene,cinematic self-mythologizer,epic sad song,yes
Epic Music,OFB,https://open.spotify.com/track/0ZPngYgQ8DMyM3cBfY2hfk,cinematic; dramatic; grand; emotional; self-mythologizing,turning personal conflict into a movie scene,cinematic self-mythologizer,epic sad song,yes
Bernal Heights,Duckwrth,https://open.spotify.com/track/2LdbF40p7euLqEsaxpt70i,cinematic; dramatic; grand; emotional; self-mythologizing,turning personal conflict into a movie scene,cinematic self-mythologizer,epic sad song,yes
Enola Gay - Remastered 2003,Orchestral Manoeuvres In The Dark,https://open.spotify.com/track/3NYCaxkggl0Hh8vQptSUvV,cinematic; dramatic; grand; emotional; self-mythologizing,turning personal conflict into a movie scene,cinematic self-mythologizer,orchestral pop,yes
Sailing On The Seven Seas,Orchestral Manoeuvres In The Dark,https://open.spotify.com/track/30R6QDPKZCeepPj3hSmQvp,cinematic; dramatic; grand; emotional; self-mythologizing,turning personal conflict into a movie scene,cinematic self-mythologizer,orchestral pop,yes
Enola Gay,Orchestral Manoeuvres In The Dark,https://open.spotify.com/track/7bJSbd2Upa4iYVHlbRKEJm,cinematic; dramatic; grand; emotional; self-mythologizing,turning personal conflict into a movie scene,cinematic self-mythologizer,orchestral pop,yes
Walking On The Milky Way,Orchestral Manoeuvres In The Dark,https://open.spotify.com/track/63VDd4PRMwWDoUhxxbE6ND,cinematic; dramatic; grand; emotional; self-mythologizing,turning personal conflict into a movie scene,cinematic self-mythologizer,orchestral pop,yes
If You Leave,Orchestral Manoeuvres In The Dark,https://open.spotify.com/track/05oFyvdztPdpwSwpoclD4c,cinematic; dramatic; grand; emotional; self-mythologizing,turning personal conflict into a movie scene,cinematic self-mythologizer,orchestral pop,yes
Pandora's Box,Orchestral Manoeuvres In The Dark,https://open.spotify.com/track/4NsNi4w10Tkpv6uikyXbJ6,cinematic; dramatic; grand; emotional; self-mythologizing,turning personal conflict into a movie scene,cinematic self-mythologizer,orchestral pop,yes
Orchestral Intro (feat. Sinfonia ViVA),"Gorillaz, Sinfonia ViVa",https://open.spotify.com/track/3s2f6XU5sJ6aqEe7GgDBta,cinematic; dramatic; grand; emotional; self-mythologizing,turning personal conflict into a movie scene,cinematic self-mythologizer,orchestral pop,yes
So In Love,Orchestral Manoeuvres In The Dark,https://open.spotify.com/track/1D2QnxvMOac95EG9C0KbsJ,cinematic; dramatic; grand; emotional; self-mythologizing,turning personal conflict into a movie scene,cinematic self-mythologizer,orchestral pop,yes
Secret,Orchestral Manoeuvres In The Dark,https://open.spotify.com/track/0WnVjkW8k8Zo37JAI7K8zF,cinematic; dramatic; grand; emotional; self-mythologizing,turning personal conflict into a movie scene,cinematic self-mythologizer,orchestral pop,yes
(Forever) Live And Die,Orchestral Manoeuvres In The Dark,https://open.spotify.com/track/7pFydJbDEToJHtvl6g579k,cinematic; dramatic; grand; emotional; self-mythologizing,turning personal conflict into a movie scene,cinematic self-mythologizer,orchestral pop,yes
Main Character,Chxrry,https://open.spotify.com/track/6UT5bzdmspm2noDOOxWthd,cinematic; dramatic; grand; emotional; self-mythologizing,turning personal conflict into a movie scene,cinematic self-mythologizer,main character song,yes
The Main Character,Will Wood,https://open.spotify.com/track/2NHntfUPC17b0nmilAWl87,cinematic; dramatic; grand; emotional; self-mythologizing,turning personal conflict into a movie scene,cinematic self-mythologizer,main character song,yes
Main Queen character energy,Souls to sounds,https://open.spotify.com/track/3kevGzDa3GvqlvOakQ8DXS,cinematic; dramatic; grand; emotional; self-mythologizing,turning personal conflict into a movie scene,cinematic self-mythologizer,main character song,yes
Main Character Energy,Rhy Elliot,https://open.spotify.com/track/4qJdPHdHoeZQLOfp5olvLB,cinematic; dramatic; grand; emotional; self-mythologizing,turning personal conflict into a movie scene,cinematic self-mythologizer,main character song,yes
Main Character Energy,lunaluxe,https://open.spotify.com/track/5REwyBzubMcobp2MGRuFCg,cinematic; dramatic; grand; emotional; self-mythologizing,turning personal conflict into a movie scene,cinematic self-mythologizer,main character song,yes
Main Character,Deki Alem,https://open.spotify.com/track/2EqZTLLNYOG6ZG9mSwiry7,cinematic; dramatic; grand; emotional; self-mythologizing,turning personal conflict into a movie scene,cinematic self-mythologizer,main character song,yes
Superpowers,Daniel Caesar,https://open.spotify.com/track/736PP5LTtREkDgktNmX3Gu,cinematic; dramatic; grand; emotional; self-mythologizing,turning personal conflict into a movie scene,cinematic self-mythologizer,main character song,yes
By the Way,Red Hot Chili Peppers,https://open.spotify.com/track/1f2V8U1BiWaC9aJWmpOARe,cinematic; dramatic; grand; emotional; self-mythologizing,turning personal conflict into a movie scene,cinematic self-mythologizer,main character song,yes
Half Of Me,Greczula,https://open.spotify.com/track/5cMsL1wGrHYivlEZ7SKQbV,cinematic; dramatic; grand; emotional; self-mythologizing,turning personal conflict into a movie scene,cinematic self-mythologizer,main character song,yes
Delulu,Meghan Trainor,https://open.spotify.com/track/5YerBmtnl5Awzkb0JTVH59,cinematic; dramatic; grand; emotional; self-mythologizing,turning personal conflict into a movie scene,cinematic self-mythologizer,main character song,yes
Retro Pop 80s,Frontmusic,https://open.spotify.com/track/3MwXago7HSOw9KeZj97JWh,retro; upbeat; neon; danceable; escapist,escaping into bright movement and polished nostalgia,retro neon escapist,retro pop,yes
Retro Pop,Angel & M Music,https://open.spotify.com/track/7gDSN4s4zEGaiGY1lq7LyU,retro; upbeat; neon; danceable; escapist,escaping into bright movement and polished nostalgia,retro neon escapist,retro pop,yes
Retro Pop,Citokid,https://open.spotify.com/track/1se6n2s0mc45buH0cyMu5w,retro; upbeat; neon; danceable; escapist,escaping into bright movement and polished nostalgia,retro neon escapist,retro pop,yes
Retro Pop,Evie,https://open.spotify.com/track/4Pagh9kS54CxqigE6XWzwd,retro; upbeat; neon; danceable; escapist,escaping into bright movement and polished nostalgia,retro neon escapist,retro pop,yes
Dive,Olivia Dean,https://open.spotify.com/track/36vmaZyO0iAE6FZ7287fg2,retro; upbeat; neon; danceable; escapist,escaping into bright movement and polished nostalgia,retro neon escapist,retro pop,yes
Solid Ground,Michael Kiwanuka,https://open.spotify.com/track/3aLq93pLZHx25jcFhfbEee,retro; upbeat; neon; danceable; escapist,escaping into bright movement and polished nostalgia,retro neon escapist,retro pop,yes
Skate,"Bruno Mars, Anderson .Paak, Silk Sonic",https://open.spotify.com/track/7jvCeWOSnJs2N3spqobWnO,retro; upbeat; neon; danceable; escapist,escaping into bright movement and polished nostalgia,retro neon escapist,retro pop,yes
dose,Teddy Swims,https://open.spotify.com/track/26ETsbVhx34daSYeBGmvgl,retro; upbeat; neon; danceable; escapist,escaping into bright movement and polished nostalgia,retro neon escapist,retro pop,yes
17 år,Veronica Maggio,https://open.spotify.com/track/7MzmBmyI9KkyQJaPNLdtUi,retro; upbeat; neon; danceable; escapist,escaping into bright movement and polished nostalgia,retro neon escapist,retro pop,yes
80's,Moonica Mac,https://open.spotify.com/track/2cGlzTR9gC93lc12cZ8afB,retro; upbeat; neon; danceable; escapist,escaping into bright movement and polished nostalgia,retro neon escapist,retro pop,yes
Neon,Hov1,https://open.spotify.com/track/3ohk7UW328iwdvQLz9sxCv,retro; upbeat; neon; danceable; escapist,escaping into bright movement and polished nostalgia,retro neon escapist,neon pop,yes
Neon Pop,Woo Ji Hoon,https://open.spotify.com/track/1xq09YtZFOfIaASQc9Z94d,retro; upbeat; neon; danceable; escapist,escaping into bright movement and polished nostalgia,retro neon escapist,neon pop,yes
Neon Moon,Cigarettes After Sex,https://open.spotify.com/track/5r7QVaDpYeWMcbxxrkqb6H,retro; upbeat; neon; danceable; escapist,escaping into bright movement and polished nostalgia,retro neon escapist,neon pop,yes
Neon Pop,Goma,https://open.spotify.com/track/67pht0yFDQryl4rB57RJN5,retro; upbeat; neon; danceable; escapist,escaping into bright movement and polished nostalgia,retro neon escapist,neon pop,yes
Everybody Talks,Neon Trees,https://open.spotify.com/track/2iUmqdfGZcHIhS3b9E9EWq,retro; upbeat; neon; danceable; escapist,escaping into bright movement and polished nostalgia,retro neon escapist,neon pop,yes
Neon Pop,Goma,https://open.spotify.com/track/1WcKN10Y3vbSkj2I9RRvH6,retro; upbeat; neon; danceable; escapist,escaping into bright movement and polished nostalgia,retro neon escapist,neon pop,yes
Royalty,"Egzod, Maestro Chives, Neoni",https://open.spotify.com/track/7F2HkBsshPlY2jDFbHpUvQ,retro; upbeat; neon; danceable; escapist,escaping into bright movement and polished nostalgia,retro neon escapist,neon pop,yes
Neon Lights,Demi Lovato,https://open.spotify.com/track/4PUFvMZ4KLfsItIhtHAI4P,retro; upbeat; neon; danceable; escapist,escaping into bright movement and polished nostalgia,retro neon escapist,neon pop,yes
Neon You,Northlake Shivers,https://open.spotify.com/track/4HZ2LkNrR1PJMHlBOa3J7g,retro; upbeat; neon; danceable; escapist,escaping into bright movement and polished nostalgia,retro neon escapist,neon pop,yes
Neonljusen,Sara Parkman,https://open.spotify.com/track/1u1qywAL81l7wKlINXRvzL,retro; upbeat; neon; danceable; escapist,escaping into bright movement and polished nostalgia,retro neon escapist,neon pop,yes
Pop Muzik,"M / Robin Scott, Robin Scott",https://open.spotify.com/track/6z3HAUZpAyJ0ctsbAwAiw3,retro; upbeat; neon; danceable; escapist,escaping into bright movement and polished nostalgia,retro neon escapist,dance synth pop,yes
Pop Muzik,M / Robin Scott,https://open.spotify.com/track/5OUviOx2Bbuhq5UyQDuQrd,retro; upbeat; neon; danceable; escapist,escaping into bright movement and polished nostalgia,retro neon escapist,dance synth pop,yes
The Safety Dance,Men Without Hats,https://open.spotify.com/track/5O4NFbDqJ8SOfbjnIhdPDt,retro; upbeat; neon; danceable; escapist,escaping into bright movement and polished nostalgia,retro neon escapist,dance synth pop,yes
The Safety Dance,Men Without Hats,https://open.spotify.com/track/4UB3TaEGEY9WoOpxYNMgy4,retro; upbeat; neon; danceable; escapist,escaping into bright movement and polished nostalgia,retro neon escapist,dance synth pop,yes
Pop Muzik - 12 Inch Version,"M / Robin Scott, Nick Launay",https://open.spotify.com/track/43U1bCDTZAhhY1Y8mCkTG4,retro; upbeat; neon; danceable; escapist,escaping into bright movement and polished nostalgia,retro neon escapist,dance synth pop,yes
Dance Again - Kite On Ice,Kite,https://open.spotify.com/track/53IBFuq0yX8VhvwI8XdRVY,retro; upbeat; neon; danceable; escapist,escaping into bright movement and polished nostalgia,retro neon escapist,dance synth pop,yes
Dance Hall Days (Re-Recorded),Wang Chung,https://open.spotify.com/track/41OIyMJsSFMjdjZjL4tHEx,retro; upbeat; neon; danceable; escapist,escaping into bright movement and polished nostalgia,retro neon escapist,dance synth pop,yes
Guap Man,OsamaSon,https://open.spotify.com/track/0jTRBzKB6p7xjRqQYLGKsX,retro; upbeat; neon; danceable; escapist,escaping into bright movement and polished nostalgia,retro neon escapist,dance synth pop,yes
POP IT,"21 Savage, Latto",https://open.spotify.com/track/3BBMNT5kxTsYxe1r0DukIb,retro; upbeat; neon; danceable; escapist,escaping into bright movement and polished nostalgia,retro neon escapist,dance synth pop,yes
80s Pop,Frontmusic,https://open.spotify.com/track/51e61z1QAfpP9lkoDLqv6M,retro; upbeat; neon; danceable; escapist,escaping into bright movement and polished nostalgia,retro neon escapist,80s pop,yes
80s Pop,Frontmusic,https://open.spotify.com/track/1j46nJ3PAzm051I2EfOCg3,retro; upbeat; neon; danceable; escapist,escaping into bright movement and polished nostalgia,retro neon escapist,80s pop,yes
80s Pop,Frontmusic,https://open.spotify.com/track/0F5M2wSXeG5N17zIoSaw1k,retro; upbeat; neon; danceable; escapist,escaping into bright movement and polished nostalgia,retro neon escapist,80s pop,yes
800°,Ebba Grön,https://open.spotify.com/track/3zgJHNEorjbLLThp6TiMhz,retro; upbeat; neon; danceable; escapist,escaping into bright movement and polished nostalgia,retro neon escapist,80s pop,yes
Higher Love - Single Version,Steve Winwood,https://open.spotify.com/track/17Ng10tIgnYmAitl0SgT3R,retro; upbeat; neon; danceable; escapist,escaping into bright movement and polished nostalgia,retro neon escapist,80s pop,yes
Love Changes (Everything),Climie Fisher,https://open.spotify.com/track/1y748kOQshZECWk5MddfOv,retro; upbeat; neon; danceable; escapist,escaping into bright movement and polished nostalgia,retro neon escapist,80s pop,yes
Smalltown Boy,Bronski Beat,https://open.spotify.com/track/5vmRQ3zELMLUQPo2FLQ76x,retro; upbeat; neon; danceable; escapist,escaping into bright movement and polished nostalgia,retro neon escapist,80s pop,yes
Self Control,Laura Branigan,https://open.spotify.com/track/6JNJERZGJwDVgkmbohBw7u,retro; upbeat; neon; danceable; escapist,escaping into bright movement and polished nostalgia,retro neon escapist,80s pop,yes
Everywhere - 2017 Remaster,Fleetwood Mac,https://open.spotify.com/track/254bXAqt3zP6P50BdQvEsq,retro; upbeat; neon; danceable; escapist,escaping into bright movement and polished nostalgia,retro neon escapist,80s pop,yes
Upbeat Synthwave,synthwave man,https://open.spotify.com/track/2e3INRwUPAI9VFEnQd7yiM,retro; upbeat; neon; danceable; escapist,escaping into bright movement and polished nostalgia,retro neon escapist,upbeat synth,yes
Upbeat - New Wave Pop Beat Mix,Aries Beats,https://open.spotify.com/track/0YVc6r1wBheLsUyVFznkAI,retro; upbeat; neon; danceable; escapist,escaping into bright movement and polished nostalgia,retro neon escapist,upbeat synth,yes
Upbeat Classic - Retrowave Outrun,Synthwave Nation,https://open.spotify.com/track/0mVhQAZtdNmfhQapqakw6I,retro; upbeat; neon; danceable; escapist,escaping into bright movement and polished nostalgia,retro neon escapist,upbeat synth,yes
Upbeat 2 - 80s Retro Wave Synth Pop Mix,Aries Beats,https://open.spotify.com/track/2yuwnHjUnX0QKqq4HhmZxI,retro; upbeat; neon; danceable; escapist,escaping into bright movement and polished nostalgia,retro neon escapist,upbeat synth,yes
Take On Me (Video Version),a-ha,https://open.spotify.com/track/0Up0cy9uLX7ag9ZgEKHrU9,retro; upbeat; neon; danceable; escapist,escaping into bright movement and polished nostalgia,retro neon escapist,upbeat synth,yes
Attention - Lash Remix,"Charlie Puth, Lash",https://open.spotify.com/track/2uYPUZTq1uobCTgk8SqVba,retro; upbeat; neon; danceable; escapist,escaping into bright movement and polished nostalgia,retro neon escapist,upbeat synth,yes
Love Again - Clean Bandit Remix,"Rae Morris, Spike Stent",https://open.spotify.com/track/649OER2fD5gRDLrBotiR7U,retro; upbeat; neon; danceable; escapist,escaping into bright movement and polished nostalgia,retro neon escapist,upbeat synth,yes
Photograph - Felix Jaehn Remix,"Ed Sheeran, Felix Jaehn",https://open.spotify.com/track/3uF6gFig8oDkHvpHNygL7u,retro; upbeat; neon; danceable; escapist,escaping into bright movement and polished nostalgia,retro neon escapist,upbeat synth,yes
kōyūei,yesmcx,https://open.spotify.com/track/6YJFRvMV9n1q0d1IvAeViI,retro; upbeat; neon; danceable; escapist,escaping into bright movement and polished nostalgia,retro neon escapist,upbeat synth,yes
U-Phoria,SUM SUN,https://open.spotify.com/track/7KkU4xF6ImhQoOkS6p72Np,retro; upbeat; neon; danceable; escapist,escaping into bright movement and polished nostalgia,retro neon escapist,upbeat synth,yes
Soft Romantic Piano,Vivid Mood Frames,https://open.spotify.com/track/6cnb777w32IvULxKCbg80c,warm; romantic; gentle; understated; emotionally observant,quietly feeling something without saying it too loudly,beautifully detached romantic,soft romantic,yes
Always Remember Us This Way,Lady Gaga,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk,warm; romantic; gentle; understated; emotionally observant,quietly feeling something without saying it too loudly,beautifully detached romantic,soft romantic,yes
Love Hurts - Single Edit,Nazareth,https://open.spotify.com/track/6MXUZ4VRQ41qTPWKgvHMCK,warm; romantic; gentle; understated; emotionally observant,quietly feeling something without saying it too loudly,beautifully detached romantic,soft romantic,yes
With Or Without You - Remastered 2007,U2,https://open.spotify.com/track/5JGEAz15LkPoOtFHttDtVs,warm; romantic; gentle; understated; emotionally observant,quietly feeling something without saying it too loudly,beautifully detached romantic,soft romantic,yes
If You Don't Know Me by Now - 2008 Remaster,Simply Red,https://open.spotify.com/track/7DFawVSjI88xR9mjnWwURg,warm; romantic; gentle; understated; emotionally observant,quietly feeling something without saying it too loudly,beautifully detached romantic,soft romantic,yes
In A Good Way,Faye Webster,https://open.spotify.com/track/2VYnlKxB8jpbCeLUjQsebc,warm; romantic; gentle; understated; emotionally observant,quietly feeling something without saying it too loudly,beautifully detached romantic,soft romantic,yes
A Whiter Shade of Pale,Annie Lennox,https://open.spotify.com/track/11Mkoen07pKwyDqHiFnVU9,warm; romantic; gentle; understated; emotionally observant,quietly feeling something without saying it too loudly,beautifully detached romantic,soft romantic,yes
Walls - Naked Edition,Ruben,https://open.spotify.com/track/7M0G5wRuoISYiCDytDxEFz,warm; romantic; gentle; understated; emotionally observant,quietly feeling something without saying it too loudly,beautifully detached romantic,soft romantic,yes
